epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
108,5537.09,1.01052,0.58848,1.17697,0.94907,0.9237,0.9467,0.62234,1.17403,0.54764,1.29783,0.0009407,0.0009407,0.0009407
109,5586.83,1.0125,0.59044,1.17103,0.93685,0.92857,0.95513,0.61256,1.18931,0.55581,1.30574,0.0009308,0.0009308,0.0009308
110,5636.7,1.0149,0.58367,1.17623,0.94979,0.92132,0.952,0.6195,1.18733,0.5522,1.29379,0.0009209,0.0009209,0.0009209
111,5685.65,0.99822,0.57318,1.16346,0.94711,0.92045,0.94995,0.61757,1.17893,0.55194,1.28975,0.000911,0.000911,0.000911
112,5734.57,1.00087,0.59092,1.1797,0.92863,0.92934,0.95194,0.6153,1.18568,0.55053,1.29891,0.0009011,0.0009011,0.0009011
113,5784.03,1.01914,0.58392,1.18107,0.93582,0.92045,0.94587,0.6139,1.19075,0.55152,1.31607,0.0008912,0.0008912,0.0008912
114,5832.96,0.99603,0.56675,1.15854,0.95287,0.91896,0.95158,0.61674,1.18824,0.54238,1.29612,0.0008813,0.0008813,0.0008813
115,5881.98,0.99146,0.57321,1.15943,0.94799,0.91721,0.94907,0.61501,1.19973,0.55216,1.31049,0.0008714,0.0008714,0.0008714
116,5931.22,0.99877,0.56588,1.16352,0.941,0.93182,0.95541,0.61875,1.19499,0.56282,1.31376,0.0008615,0.0008615,0.0008615
117,5980.31,0.98941,0.56834,1.16143,0.94326,0.92045,0.94968,0.61831,1.19107,0.54436,1.31385,0.0008516,0.0008516,0.0008516
118,6029.36,0.99132,0.55314,1.14942,0.94074,0.90909,0.94301,0.61214,1.18262,0.5551,1.30041,0.0008417,0.0008417,0.0008417
119,6078.54,0.9903,0.55231,1.16202,0.93325,0.91396,0.93009,0.61113,1.18505,0.55721,1.3188,0.0008318,0.0008318,0.0008318
120,6127.6,0.9921,0.56571,1.16656,0.94562,0.93158,0.94658,0.61966,1.17751,0.53885,1.29294,0.0008219,0.0008219,0.0008219
121,6176.9,0.9773,0.5521,1.15289,0.9406,0.93344,0.94567,0.61661,1.18262,0.54582,1.2953,0.000812,0.000812,0.000812
122,6225.85,0.97989,0.56393,1.15406,0.94715,0.93182,0.95211,0.6221,1.16912,0.54798,1.28989,0.0008021,0.0008021,0.0008021
123,6275.07,0.96653,0.5463,1.15317,0.93886,0.92857,0.95304,0.6187,1.18818,0.53467,1.30239,0.0007922,0.0007922,0.0007922
124,6324.02,0.97511,0.55448,1.16092,0.9439,0.92857,0.94514,0.62197,1.17392,0.53215,1.28808,0.0007823,0.0007823,0.0007823
125,6372.89,0.95114,0.54312,1.13962,0.94032,0.92081,0.94483,0.61442,1.17025,0.53585,1.29681,0.0007724,0.0007724,0.0007724
126,6421.84,0.97052,0.54562,1.14818,0.93762,0.92716,0.94895,0.62,1.18207,0.54008,1.29774,0.0007625,0.0007625,0.0007625
127,6470.73,0.96234,0.54269,1.14064,0.93452,0.92672,0.95002,0.62625,1.17292,0.53682,1.31167,0.0007526,0.0007526,0.0007526
128,6519.91,0.94535,0.53377,1.13802,0.94583,0.93535,0.94714,0.62242,1.17518,0.53013,1.30188,0.0007427,0.0007427,0.0007427
129,6568.77,0.962,0.5375,1.14637,0.94416,0.93182,0.95034,0.61622,1.19476,0.53952,1.32215,0.0007328,0.0007328,0.0007328
130,6617.64,0.94136,0.5286,1.12821,0.93975,0.9368,0.95415,0.61828,1.19469,0.52815,1.31894,0.0007229,0.0007229,0.0007229
131,6667.69,0.92358,0.51298,1.11785,0.93372,0.94156,0.95421,0.62351,1.18201,0.52892,1.306,0.000713,0.000713,0.000713
132,6717.03,0.93476,0.51886,1.13015,0.94212,0.92488,0.95123,0.6166,1.19344,0.53124,1.31367,0.0007031,0.0007031,0.0007031
133,6766.44,0.92307,0.51491,1.11507,0.95016,0.92843,0.94612,0.61619,1.19012,0.52692,1.32018,0.0006932,0.0006932,0.0006932
134,6815.32,0.93764,0.52837,1.12952,0.93491,0.92532,0.95459,0.61815,1.18102,0.52693,1.31534,0.0006833,0.0006833,0.0006833
135,6864.19,0.92479,0.5207,1.123,0.93866,0.92857,0.94776,0.61591,1.19992,0.53485,1.3381,0.0006734,0.0006734,0.0006734
136,6913.08,0.93507,0.52157,1.12114,0.92371,0.94347,0.94634,0.61823,1.18122,0.52225,1.31287,0.0006635,0.0006635,0.0006635
